sale_id,product_id,customer_id,quantity_sold,sale_amount,sale_date,region
1,107,273,5,1000,01-09-24,South
2,,,7,700,31-05-24,
3,107,223,2,400,19-03-24,West
4,103,,1,240,,West
5,112,274,6,600,05-05-24,West
6,113,296,4,100,20-12-24,
7,101,231,3,750,09-09-24,West
8,107,297,9,1800,12-03-24,East
9,101,232,4,1000,26-11-24,South
10,,227,7,560,08-10-24,South
11,101,229,1,250,,North
12,102,252,4,1200,03-03-24,North
13,113,259,1,25,27-09-24,West
14,110,267,6,300,28-10-24,East
15,106,,2,700,14-04-24,South
16,111,235,2,160,03-12-24,
17,107,294,7,,10-05-24,West
18,104,295,9,900,,South
19,110,289,1,50,24-11-24,West
20,,208,4,1600,15-09-24,North
21,106,250,3,1050,11-02-24,East
22,112,241,3,300,22-09-24,East
23,108,262,5,3000,20-03-24,West
24,104,227,9,900,02-02-24,West
25,104,,10,1000,,South
26,102,226,5,1500,15-12-24,South
27,102,224,7,2100,25-04-24,
28,,269,5,500,25-11-24,North
29,114,,3,,13-08-24,East
30,107,298,1,200,06-11-24,South
31,111,284,4,320,28-11-24,North
32,101,205,7,1750,06-06-24,North
33,106,292,2,700,05-10-24,
34,112,227,8,800,13-07-24,North
35,107,289,10,2000,09-03-24,West
36,116,248,3,150,13-12-24,West
37,110,245,7,350,20-02-24,North
38,,279,4,400,03-01-25,
39,102,215,3,900,11-01-25,South
40,112,269,9,900,10-06-24,East
41,,286,10,300,18-01-25,West
42,101,295,1,,02-12-24,East
43,102,,9,2700,07-10-24,South
44,115,237,,240,29-09-24,West
45,115,227,6,180,19-12-24,East
46,,279,,1500,20-04-24,South
47,113,237,6,,11-06-24,
48,,,3,1050,23-03-24,West
49,107,239,9,1800,,East
50,102,240,6,1800,10-09-24,West
51,106,220,6,2100,13-11-24,East
52,108,212,4,2400,22-01-24,West
53,111,244,8,640,07-07-24,North
54,114,284,8,1200,11-12-24,East
55,102,297,5,1500,21-04-24,West
56,108,217,10,6000,04-06-24,East
57,112,257,3,300,14-04-24,West
58,103,241,9,2160,24-07-24,South
59,109,254,10,200,11-12-24,South
60,102,255,6,1800,03-03-24,South
61,113,245,5,125,23-11-24,South
62,110,299,5,250,25-11-24,North
63,104,261,3,300,23-06-24,South
64,106,214,7,2450,28-01-24,South
65,114,271,8,1200,,North
66,116,285,4,200,05-05-24,West
67,110,298,2,100,13-07-24,South
68,109,250,4,80,30-10-24,
69,113,,,250,22-08-24,West
70,,235,10,2000,,East
71,113,215,6,150,18-10-24,South
72,111,286,8,640,28-06-24,South
73,,235,6,900,,East
74,110,208,1,50,03-09-24,North
75,109,258,4,,05-07-24,South
76,,,7,1680,10-04-24,South
77,105,229,7,2800,09-02-24,
78,115,232,1,30,25-11-24,East
79,115,236,10,300,25-05-24,North
80,102,242,4,1200,22-06-24,East
81,103,294,6,1440,31-05-24,South
82,109,269,2,40,01-01-25,South
83,113,234,9,225,13-03-24,West
84,114,212,2,300,01-11-24,North
85,105,262,3,1200,30-04-24,East
86,101,283,7,1750,14-06-24,West
87,113,223,9,225,14-04-24,South
88,113,242,4,100,11-04-24,West
89,113,251,3,75,04-01-25,South
90,114,230,6,900,05-04-24,South
91,110,270,5,250,16-03-24,East
92,115,254,1,30,28-12-24,North
93,103,203,5,1200,15-06-24,South
